ISBN,title,authors,Year-Of-Publication,Publisher,Image-URL-S,Image-URL-M,Image-URL-L,description
080652121X,Hitler's Secret Bankers: The Myth of Swiss Neutrality During the Holocaust,Adam Lebor,2000,Citadel Press,http://images.amazon.com/images/P/080652121X.01.THUMBZZZ.jpg,http://images.amazon.com/images/P/080652121X.01.MZZZZZZZ.jpg,http://images.amazon.com/images/P/080652121X.01.LZZZZZZZ.jpg,"Hitler's Secret Bankers was the first book to disclose the extensive collaboration among Swiss banks, the Swiss government, and the Third Reich before and during World War II. Switzerland, supposedly neutral in the war, seemed a safe haven to desperate Jews who entrusted their wealth to its banks, believing that even if they died their families would inherit it. For more than fifty years, this money has provided free working capital for the banks. In addition to the dispute over dormant accounts, Swiss banks provided the Nazi war machine with foreign currency, which paid for vital war materiel such as chrome and aluminum."
887841740,The Middle Stories,Sheila Heti,2004,House of Anansi Press,http://images.amazon.com/images/P/0887841740.01.THUMBZZZ.jpg,http://images.amazon.com/images/P/0887841740.01.MZZZZZZZ.jpg,http://images.amazon.com/images/P/0887841740.01.LZZZZZZZ.jpg,"Wildly acclaimed in Canada, this book marks the debut of a remarkable young writer first published by McSweeney's when she was twenty-three and living at home with her dad and brother. The Middle Stories is a strikingly original collection of stories, fables, and short brutalities that are alternately heartwarming, cruel, and hilarious. This edition, marking the 10th anniversary of The Middle Stories, will be designed in the newly iconic McSweeney's paperback style, and will be published shortly before Heti's newest novel, How Should A Person Be?, emigrates from Canada via Henry Holt & Co."
1552041778,Jane Doe,R. J. Kaiser,1999,Mira Books,http://images.amazon.com/images/P/1552041778.01.THUMBZZZ.jpg,http://images.amazon.com/images/P/1552041778.01.MZZZZZZZ.jpg,http://images.amazon.com/images/P/1552041778.01.LZZZZZZZ.jpg,"An Amazon Charts bestseller. A double life with a single purpose: revenge. Jane's days at a Midwest insurance company are perfectly ordinary. She blends in well, unremarkably pretty in her floral-print dresses and extra efficient at her low-level job. She's just the kind of woman middle manager Steven Hepsworth likes--meek, insecure, and willing to defer to a man. No one has any idea who Jane really is. Least of all Steven. But plain Jane is hiding something. And Steven's bringing out the worst in her. Nothing can distract Jane from going straight for his heart: allowing herself to be seduced into Steven's bed, to insinuate herself into his career and his family, and to expose all his dirty secrets. It's time for Jane to dig out everything that matters to Steven. So she can take it all away. Just as he did to her."
1558746218,A Second Chicken Soup for the Woman's Soul (Chicken Soup for the Soul Series),Jack Canfield,1998,Health Communications,http://images.amazon.com/images/P/1558746218.01.THUMBZZZ.jpg,http://images.amazon.com/images/P/1558746218.01.MZZZZZZZ.jpg,http://images.amazon.com/images/P/1558746218.01.LZZZZZZZ.jpg,"This latest collection of stories celebrates the shared experiences of being a woman in a 101 new ways. You will be moved by these true accounts of how women like you have embraced life's defining moments by finding love, dealing with loss, overcoming obstacles and achieving their dreams and goals. Like spending time with a trusted friend, A Second Chicken Soup for the Woman's Soul will put difficult times into perspective, renew your faith in yourself and make you aware of the miracles in your own life."
1567407781,The Witchfinder (Amos Walker Mystery Series),Loren D. Estleman,1998,Brilliance Audio - Trade,http://images.amazon.com/images/P/1567407781.01.THUMBZZZ.jpg,http://images.amazon.com/images/P/1567407781.01.MZZZZZZZ.jpg,http://images.amazon.com/images/P/1567407781.01.LZZZZZZZ.jpg,"DIVA dying architect engages Detroit PI Amos Walker to uncover someone who is spreading lies about him/divDIV/divDIVThe world is waiting for Jay Bell Furlong to die. The grand old man of American architecture is on deathwatch in a Los Angeles hospital, and it won’t be long before his obituary hits the front page. Only Amos Walker knows that the impending death is a bit farther off than that./divDIV /divDIVIn fact, Furlong has just become Walker’s client. The architect is still near death, yes, but far from the hospital. Before he goes, he has an item of revenge he wants seen to, and Walker is to be his instrument. Eight years prior, a salacious photo caused Furlong to cut loose his young lover, a photo he has now learned is a fake. He hires Walker to find out who poisoned his happiness, so that he can repay the favor before it’s too late./divDIV /divDIVThis ebook features an illustrated biography of Loren D. Estleman including rare photos from the author’s personal collection./div"
1575663937,More Cunning Than Man: A Social History of Rats and Man,Robert Hendrickson,1999,Kensington Publishing Corp.,http://images.amazon.com/images/P/1575663937.01.THUMBZZZ.jpg,http://images.amazon.com/images/P/1575663937.01.MZZZZZZZ.jpg,http://images.amazon.com/images/P/1575663937.01.LZZZZZZZ.jpg,"This eye-opening, well-researched examination of mankind's oldest competitor is filled with weirdly fascinating information about the history of the rat and the way it consistently outsmarts man. Illustrations."
1881320189,Goodbye to the Buttermilk Sky,Julia Oliver,1994,River City Pub,http://images.amazon.com/images/P/1881320189.01.THUMBZZZ.jpg,http://images.amazon.com/images/P/1881320189.01.MZZZZZZZ.jpg,http://images.amazon.com/images/P/1881320189.01.LZZZZZZZ.jpg,"A beautifully narrated novel of time and place, Goodbye to the Buttermilk Sky re-creates a southern summer when the depression and the boll weevil turned hopes to dust. With the extraordinary talent to make the reader see the Ball canning jars on the kitchen table, hear the clicks on the party line, and feel the bittersweet moments of 20-year-old Callie Tatum's first experiences with adult desire, Oliver portrays a young wife's increasingly dangerous infidelity with cinematic precision and palpable suspense."
440234743,The Testament,John Grisham,1999,Dell,http://images.amazon.com/images/P/0440234743.01.THUMBZZZ.jpg,http://images.amazon.com/images/P/0440234743.01.MZZZZZZZ.jpg,http://images.amazon.com/images/P/0440234743.01.LZZZZZZZ.jpg,Contemporary / American English (Available June 2008) Nate O'Riley is a powerful Washington lawyer. Returning to work after a long stay in hospital is difficult for Nate. Then he is sent on a journey that takes him from the tense courtrooms of Washington to the dangerous swamps of Brazil. It is a journey that will change his life forever...
452264464,Beloved (Plume Contemporary Fiction),Toni Morrison,1994,Plume,http://images.amazon.com/images/P/0452264464.01.THUMBZZZ.jpg,http://images.amazon.com/images/P/0452264464.01.MZZZZZZZ.jpg,http://images.amazon.com/images/P/0452264464.01.LZZZZZZZ.jpg,WINNER OF THE NOBEL PRIZE IN LITERATURE.
609804618,Our Dumb Century: The Onion Presents 100 Years of Headlines from America's Finest News Source,The Onion,1999,Three Rivers Press,http://images.amazon.com/images/P/0609804618.01.THUMBZZZ.jpg,http://images.amazon.com/images/P/0609804618.01.MZZZZZZZ.jpg,http://images.amazon.com/images/P/0609804618.01.LZZZZZZZ.jpg,"The Onion has quickly become the world's most popular humor publication, misinforming half a million readers a week with one-of-a-kind social satire both in print (on newsstands nationwide) and online from its remote office in Madison, Wisconsin. Witness the march of history as Editor-in-Chief Scott Dikkers and The Onion's award-winning writing staff present the twentieth century like you've never seen it before."
1879384493,If I'd Known Then What I Know Now: Why Not Learn from the Mistakes of Others? : You Can't Afford to Make Them All Yourself,J. R. Parrish,2003,Cypress House,http://images.amazon.com/images/P/1879384493.01.THUMBZZZ.jpg,http://images.amazon.com/images/P/1879384493.01.MZZZZZZZ.jpg,http://images.amazon.com/images/P/1879384493.01.LZZZZZZZ.jpg,"Provides advice on ways to succeed in business, finance, careers, dating, marriage, school, and getting along with others."
439095026,Tell Me This Isn't Happening,Robynn Clairday,1999,Scholastic,http://images.amazon.com/images/P/0439095026.01.THUMBZZZ.jpg,http://images.amazon.com/images/P/0439095026.01.MZZZZZZZ.jpg,http://images.amazon.com/images/P/0439095026.01.LZZZZZZZ.jpg,"THE MAKING AND MEANING OF RADIOHEAD'S GROUNDBREAKING, CONTROVERSIAL, EPOCHDEFINING ALBUM, KID A. In 1999, as the end of an old century loomed, five musicians entered a recording studio in Paris without a deadline. Their band was widely recognized as the best and most forward-thinking in rock, a rarefied status granting them the time, money, and space to make a masterpiece. But Radiohead didn't want to make another rock record. Instead, they set out to create the future. For more than a year, they battled writer's block, intra-band disagreements, and crippling self-doubt. In the end, however, they produced an album that was not only a complete departure from their prior guitar-based rock sound, it was the sound of a new era-and it embodied widespread changes catalyzed by emerging technologies just beginning to take hold of the culture. What they created was Kid A. Upon its release in 2000, Radiohead's fourth album divided critics. Some called it an instant classic; others, such as the UK music magazine Melody Maker, deemed it ""tubby, ostentatious, self-congratulatory... whiny old rubbish."" But two decades later, Kid A sounds like nothing less than an overture for the chaos and confusion of the twenty-first century. Acclaimed rock critic Steven Hyden digs deep into the songs, history, legacy, and mystique of Kid A, outlining the album's pervasive influence and impact on culture in time for its twentieth anniversary in 2020. Deploying a mix of criticism, journalism, and personal memoir, Hyden skillfully revisits this enigmatic, alluring LP and investigates the many ways in which Kid A shaped and foreshadowed our world."
689821166,Flood : Mississippi 1927,Kathleen Duey,1998,Aladdin,http://images.amazon.com/images/P/0689821166.01.THUMBZZZ.jpg,http://images.amazon.com/images/P/0689821166.01.MZZZZZZZ.jpg,http://images.amazon.com/images/P/0689821166.01.LZZZZZZZ.jpg,The great Mississippi flood of 1927 and how it changed America.
971880107,Wild Animus,Rich Shapero,2004,Too Far,http://images.amazon.com/images/P/0971880107.01.THUMBZZZ.jpg,http://images.amazon.com/images/P/0971880107.01.MZZZZZZZ.jpg,http://images.amazon.com/images/P/0971880107.01.LZZZZZZZ.jpg,"Wild animus is a search for the primordial, a test of human foundations and a journey to the breaking point."
345417623,Timeline,MICHAEL CRICHTON,2000,Ballantine Books,http://images.amazon.com/images/P/0345417623.01.THUMBZZZ.jpg,http://images.amazon.com/images/P/0345417623.01.MZZZZZZZ.jpg,http://images.amazon.com/images/P/0345417623.01.LZZZZZZZ.jpg,"Our critically acclaimed smash hit Cartographies of Time is now available in paperback. In this first comprehensive history of graphic representations of time, authors Daniel Rosenberg and Anthony Grafton have crafted a lively history featuring fanciful characters and unexpected twists and turns. From medieval manuscripts to websites, Cartographies of Time features a wide variety of timelines that in their own unique ways, curving, crossing, branching, defy conventional thinking about the form. A fifty-four-foot-long timeline from 1753 is mounted on a scroll and encased in a protective box. Another timeline uses the different parts of the human body to show the genealogies of Jesus Christ and the rulers of Saxony. Ladders created by missionaries in eighteenth-century Oregon illustrate Bible stories in a vertical format to convert Native Americans. Also included is the April 1912 Marconi North Atlantic Communication chart, which tracked ships, including the Titanic, at points in time rather than by their geographic location, alongside little-known works by famous figures, including a historical chronology by the mapmaker Gerardus Mercator and a chronological board game patented by Mark Twain. Presented in a lavishly illustrated edition, Cartographies of Time is a revelation to anyone interested in the role visual forms have played in our evolving conception of history"
684823802,OUT OF THE SILENT PLANET,C.S. Lewis,1996,Scribner,http://images.amazon.com/images/P/0684823802.01.THUMBZZZ.jpg,http://images.amazon.com/images/P/0684823802.01.MZZZZZZZ.jpg,http://images.amazon.com/images/P/0684823802.01.LZZZZZZZ.jpg,"""Out of the Silent Planet"" by C. S. Lewis. Published by DigiCat. DigiCat publishes a wide range of titles that encompasses every genre. From well-known classics & literary fiction and non-fiction to forgotten−or yet undiscovered gems−of world literature, we issue the books that need to be read. Each DigiCat edition has been meticulously edited and formatted to boost readability for all e-readers and devices. Our goal is to produce eBooks that are user-friendly and accessible to everyone in a high-quality digital format."
375759778,Prague : A Novel,ARTHUR PHILLIPS,2003,Random House Trade Paperbacks,http://images.amazon.com/images/P/0375759778.01.THUMBZZZ.jpg,http://images.amazon.com/images/P/0375759778.01.MZZZZZZZ.jpg,http://images.amazon.com/images/P/0375759778.01.LZZZZZZZ.jpg,"A novel of startling scope and ambition, Prague depicts an intentionally lost Lost Generation as it follows five American expats who come to Budapest in the early 1990s to seek their fortune. They harbor the vague suspicion that their counterparts in Prague have it better, but still they hope to find adventure, inspiration, a gold rush, or history in the making."
425163091,Chocolate Jesus,Stephan Jaramillo,1998,Berkley Publishing Group,http://images.amazon.com/images/P/0425163091.01.THUMBZZZ.jpg,http://images.amazon.com/images/P/0425163091.01.MZZZZZZZ.jpg,http://images.amazon.com/images/P/0425163091.01.LZZZZZZZ.jpg,"The author of ""Going Postal"" introduces his deliciously new novel that revolves around a self-proclaimed JFK assassination scholar who has just come up with the idea of a lifetime--Chocolate Jesus."
3442353866,Der Fluch der Kaiserin. Ein Richter- Di- Roman.,Eleanor Cooney,2001,Goldmann,http://images.amazon.com/images/P/3442353866.01.THUMBZZZ.jpg,http://images.amazon.com/images/P/3442353866.01.MZZZZZZZ.jpg,http://images.amazon.com/images/P/3442353866.01.LZZZZZZZ.jpg,Im China des Jahres 671 gelingt Richter Di die Flucht vor der skrupellosen Kaiserin Wu in die Hafenstadt Kanton. Doch auch dort ist er nicht sicher.
3442410665,Sturmzeit. Roman.,Charlotte Link,1991,Goldmann,http://images.amazon.com/images/P/3442410665.01.THUMBZZZ.jpg,http://images.amazon.com/images/P/3442410665.01.MZZZZZZZ.jpg,http://images.amazon.com/images/P/3442410665.01.LZZZZZZZ.jpg,"Deutschland 1914. In Europa gärt es, auf dem Familiengut der Degnellys in Ostpreußen blickt man jedoch noch voller Zuversicht in die Zukunft. Vor allem die 18-jährige Tochter Felicia träumt von einem aufregenden, glücklichen Leben. Ein Traum, der sich in einer harten Zeit bewähren muss, denn die nächsten Jahre bringen auch für Felicia das Ende ihrer vertrauten Welt. Dennoch liebt sie das Leben, das Risiko und vor allem zwei sehr gegensätzliche Männer. Inmitten der Wirren des Krieges entwickelt sie sich zu einer unabhängigen Geschäftsfrau, die hoch spielt und tief fällt. Bei all dem begleiten sie ihr tiefes Gefühl der Verantwortung für ihre Familie – und der Wille, sich von Niederlagen nie entmutigen zu lassen. Ein Wille, der auch die Frauen der nachfolgenden Generationen prägen wird ..."
375406328,Lying Awake,Mark Salzman,2000,Alfred A. Knopf,http://images.amazon.com/images/P/0375406328.01.THUMBZZZ.jpg,http://images.amazon.com/images/P/0375406328.01.MZZZZZZZ.jpg,http://images.amazon.com/images/P/0375406328.01.LZZZZZZZ.jpg,"In a Carmelite monastery outside present-day Los Angeles, Sister John of the Cross experiences visions of such dazzling power and insight that she is considered a spiritual master. But they are accompanied by powerful headaches, and when a doctor reveals they may be dangerous, she faces a devastating choice since she fears a ""cure"" may end her spiritual gifts."
446310786,To Kill a Mockingbird,Harper Lee,1988,Little Brown &amp; Company,http://images.amazon.com/images/P/0446310786.01.THUMBZZZ.jpg,http://images.amazon.com/images/P/0446310786.01.MZZZZZZZ.jpg,http://images.amazon.com/images/P/0446310786.01.LZZZZZZZ.jpg,"Voted America's Best-Loved Novel in PBS's The Great American Read Harper Lee's Pulitzer Prize-winning masterwork of honor and injustice in the deep South—and the heroism of one man in the face of blind and violent hatred One of the most cherished stories of all time, To Kill a Mockingbird has been translated into more than forty languages, sold more than forty million copies worldwide, served as the basis for an enormously popular motion picture, and was voted one of the best novels of the twentieth century by librarians across the country. A gripping, heart-wrenching, and wholly remarkable tale of coming-of-age in a South poisoned by virulent prejudice, it views a world of great beauty and savage inequities through the eyes of a young girl, as her father—a crusading local lawyer—risks everything to defend a black man unjustly accused of a terrible crime."
449005615,Seabiscuit: An American Legend,LAURA HILLENBRAND,2002,Ballantine Books,http://images.amazon.com/images/P/0449005615.01.THUMBZZZ.jpg,http://images.amazon.com/images/P/0449005615.01.MZZZZZZZ.jpg,http://images.amazon.com/images/P/0449005615.01.LZZZZZZZ.jpg,Jack the Bookman August 2003.
60168013,Pigs in Heaven,Barbara Kingsolver,1993,Harpercollins,http://images.amazon.com/images/P/0060168013.01.THUMBZZZ.jpg,http://images.amazon.com/images/P/0060168013.01.MZZZZZZZ.jpg,http://images.amazon.com/images/P/0060168013.01.LZZZZZZZ.jpg,"Picking up where her modern classic The Bean Trees left off, Barbara Kingsolver’s bestselling Pigs in Heaven continues the tale of Turtle and Taylor Greer, a Native American girl and her adoptive mother who have settled in Tucson, Arizona, as they both try to overcome their difficult pasts. Taking place three years after The Bean Trees, Taylor is now dating a musician named Jax and has officially adopted Turtle. But when a lawyer for the Cherokee Nation begins to investigate the adoption—their new life together begins to crumble. Depicting the clash between fierce family love and tribal law, poverty and means, abandonment and belonging, Pigs in Heaven is a morally wrenching, gently humorous work of fiction that speaks equally to the head and the heart. This edition includes a P.S. section with additional insights from Barbara Kingsolver, background material, suggestions for further reading, and more."
038078243X,Miss Zukas and the Raven's Dance,Jo Dereske,1996,Avon,http://images.amazon.com/images/P/038078243X.01.THUMBZZZ.jpg,http://images.amazon.com/images/P/038078243X.01.MZZZZZZZ.jpg,http://images.amazon.com/images/P/038078243X.01.LZZZZZZZ.jpg,Murder victim Stanley Plummer has been cataloging a collection of Native American books for Bellehaven's new Cultural Center when Helma steps in to complete the cataloging and find Plummer's murderer on the side.
055321215X,Pride and Prejudice,Jane Austen,1983,Bantam,http://images.amazon.com/images/P/055321215X.01.THUMBZZZ.jpg,http://images.amazon.com/images/P/055321215X.01.MZZZZZZZ.jpg,http://images.amazon.com/images/P/055321215X.01.LZZZZZZZ.jpg,"Austen’s most celebrated novel tells the story of Elizabeth Bennet, a bright, lively young woman with four sisters, and a mother determined to marry them to wealthy men. At a party near the Bennets’ home in the English countryside, Elizabeth meets the wealthy, proud Fitzwilliam Darcy. Elizabeth initially finds Darcy haughty and intolerable, but circumstances continue to unite the pair. Mr. Darcy finds himself captivated by Elizabeth’s wit and candor, while her reservations about his character slowly vanish. The story is as much a social critique as it is a love story, and the prose crackles with Austen’s wry wit."
067176537X,The Therapeutic Touch: How to Use Your Hands to Help or to Heal,Dolores Krieger,1979,Fireside,http://images.amazon.com/images/P/067176537X.01.THUMBZZZ.jpg,http://images.amazon.com/images/P/067176537X.01.MZZZZZZZ.jpg,http://images.amazon.com/images/P/067176537X.01.LZZZZZZZ.jpg,"Whether it be to relieve a headache, calm a muscle spasm, soothe a crying baby, or alleviate your own abdominal cramps. The Therapeutic Touch shows you how you can use your hands to help or to heal someone who is sick. By explaining what happens during the four different stages of therapeutic touching. Dr. Krieger shows you how to detect when a person is sick, pinpoint where the pain is, and stimulate the recuperative powers of the sick person. With accurate descriptions of the changes that take place in body temperature, levels of consciousness, and physiology during this intense interaction, this book helps you interpret your healing experience and get the most meaning from it. The Therapeutic Touch recaptures a simple, ancient mode of healing and shows how you can now become on integral part of your own or someone else's healing process."
61099686,Downtown,Anne Rivers Siddons,1995,HarperTorch,http://images.amazon.com/images/P/0061099686.01.THUMBZZZ.jpg,http://images.amazon.com/images/P/0061099686.01.MZZZZZZZ.jpg,http://images.amazon.com/images/P/0061099686.01.LZZZZZZZ.jpg,"Winner of a Lewis Mumford Prize: “Extremely engaging reading for those interested in the history of cities and urban experience.” —Booklist Written by one of this country’s foremost urban historians, Downtown is the first history of what was once viewed as the heart of the American city. It tells the fascinating story of how downtown—and the way Americans thought about downtown—changed over time. By showing how businessmen and property owners worked to promote the well-being of downtown, even at the expense of other parts of the city, it also gives a riveting account of spatial politics in urban America. Drawing on a wide array of contemporary sources, Robert M. Fogelson brings downtown to life, first as the business district, then as the central business district, and finally as just another business district. His book vividly recreates the long-forgotten battles over subways and skyscrapers in the late nineteenth and early twentieth centuries. And it provides a fresh, often startling perspective on elevated highways, parking bans, urban redevelopment, and other controversial issues. This groundbreaking book will be a revelation to scholars, city planners, policymakers, and anyone interested in American cities and American history. “A thorough and accomplished history.” —The Washington Post Book World ""Superlative . . . a vital contribution to the study of American life.” —Publishers Weekly “A superbly thorough analysis of the causes of inner-city blight, congestion, and economic decline in mid-20th century urban America.” —Library Journal Includes photographs"
